customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
6842-6298,Male,1,Yes,No,42,Yes,No,Month-to-month,No,Credit card,31.84,1337.28,Yes
7045-1719,Male,0,No,No,2,No,DSL,One year,Yes,Electronic check,84.48,168.96,Yes
7366-3177,Male,0,No,No,64,Yes,No,Two year,Yes,Bank transfer,113.99,7295.36,No
9248-1217,Female,0,No,No,9,No,DSL,Two year,No,Credit card,70.08,630.72,No
4309-3484,Male,0,Yes,No,31,No,DSL,Two year,Yes,Electronic check,33.48,1037.88,No
5726-1388,Female,0,Yes,Yes,57,No,DSL,One year,No,Electronic check,71.05,4049.85,No
1099-2058,Male,0,No,Yes,27,Yes,No,Month-to-month,Yes,Credit card,71.1,1919.7,Yes
8652-6103,Female,0,Yes,Yes,19,Yes,DSL,Month-to-month,Yes,Mailed check,43.16,820.04,Yes
2310-6891,Male,0,Yes,No,23,Yes,Fiber optic,One year,No,Mailed check,46.64,1072.72,No
1324-7249,Female,1,Yes,No,57,No,No,Two year,No,Mailed check,100.32,5718.24,No
8878-2178,Female,0,No,Yes,71,Yes,Fiber optic,One year,No,Bank transfer,64.45,4575.95,No
7465-7113,Female,0,No,Yes,20,Yes,DSL,Month-to-month,No,Credit card,59.65,1193,Yes
6711-9349,Female,1,No,Yes,53,Yes,DSL,One year,Yes,Mailed check,94.77,5022.81,No
3422-5281,Female,0,Yes,No,55,Yes,DSL,One year,Yes,Bank transfer,81.83,4500.65,No
2316-9495,Female,0,No,Yes,21,Yes,DSL,Month-to-month,No,Credit card,89.19,1872.99,No
2456-2790,Male,1,Yes,No,33,No,No,Two year,No,Bank transfer,91.93,3033.69,No
7845-9600,Female,0,No,Yes,51,No,DSL,Month-to-month,No,Electronic check,29.49,1503.99,No
2806-8383,Female,0,No,Yes,23,No,DSL,Two year,Yes,Mailed check,67.67,1556.41,No
5802-2404,Male,0,Yes,Yes,24,Yes,Fiber optic,One year,No,Electronic check,105.1,2522.4,Yes
2000-5359,Female,0,No,Yes,44,Yes,No,Month-to-month,No,Credit card,85.93,3780.92,Yes
8036-6514,Male,0,Yes,Yes,67,Yes,Fiber optic,Two year,No,Credit card,66.38,4447.46,No
1050-8486,Female,0,No,Yes,47,No,Fiber optic,Two year,Yes,Bank transfer,105.56,4961.32,No
8785-9436,Female,0,Yes,Yes,68,No,No,Month-to-month,No,Credit card,80.6,5480.8,No
2333-6707,Female,0,Yes,No,3,No,DSL,Two year,No,Credit card,42.89,128.67,No
9990-8648,Female,1,Yes,No,38,Yes,No,Month-to-month,Yes,Mailed check,68.8,2614.4,Yes
1478-3625,Male,1,Yes,No,70,Yes,DSL,Month-to-month,Yes,Electronic check,30.34,2123.8,No
4666-2059,Female,1,No,Yes,33,No,No,Month-to-month,Yes,Credit card,28.86,952.38,No
4082-2902,Female,1,No,No,30,Yes,Fiber optic,Month-to-month,No,Electronic check,30.92,927.6,Yes
6980-3069,Female,0,No,No,1,No,DSL,Two year,Yes,Credit card,116.03,116.03,No
5643-3389,Male,0,No,Yes,69,No,Fiber optic,Month-to-month,No,Mailed check,68.98,4759.62,Yes
6458-3501,Male,0,No,Yes,36,No,No,Month-to-month,No,Bank transfer,89.01,3204.36,Yes
8756-6706,Male,0,Yes,Yes,63,No,Fiber optic,Two year,Yes,Electronic check,73.7,4643.1,Yes
1886-5981,Female,1,Yes,No,37,Yes,No,Two year,No,Electronic check,32.83,1214.71,No
2670-3418,Female,0,Yes,No,62,No,DSL,Month-to-month,Yes,Mailed check,92.06,5707.72,Yes
8107-3434,Female,1,Yes,Yes,13,No,Fiber optic,Month-to-month,Yes,Electronic check,116.07,1508.91,Yes
2468-8596,Female,0,Yes,Yes,31,No,Fiber optic,One year,Yes,Credit card,96.03,2976.93,No
4685-1377,Female,0,No,No,2,Yes,DSL,Month-to-month,Yes,Credit card,82.86,165.72,No
2040-9806,Female,0,Yes,Yes,50,No,No,Two year,No,Bank transfer,76,3800,Yes
3960-3948,Male,1,Yes,No,72,No,DSL,Two year,Yes,Mailed check,114.64,8254.08,No
1573-2386,Male,1,No,Yes,6,Yes,No,Month-to-month,Yes,Electronic check,75.12,450.72,No
9035-6127,Male,0,No,Yes,55,Yes,DSL,One year,Yes,Bank transfer,84.6,4653,No
4539-6882,Female,0,Yes,Yes,31,Yes,DSL,Month-to-month,No,Mailed check,113.83,3528.73,No
7968-3346,Female,0,No,Yes,71,No,Fiber optic,One year,Yes,Credit card,64.69,4592.99,No
5055-2270,Male,0,No,Yes,48,Yes,Fiber optic,Month-to-month,No,Credit card,57.14,2742.72,No
4698-5483,Female,0,Yes,No,9,No,No,Month-to-month,No,Bank transfer,96.25,866.25,Yes
5620-5440,Male,0,No,Yes,49,Yes,DSL,Month-to-month,No,Credit card,29.36,1438.64,Yes
9414-3547,Male,0,Yes,No,50,Yes,Fiber optic,Two year,No,Credit card,78.05,3902.5,Yes
8678-9228,Male,0,No,No,7,No,No,Month-to-month,No,Credit card,37.94,265.58,No
4932-2534,Female,0,No,Yes,40,Yes,Fiber optic,One year,No,Electronic check,82.2,3288,Yes
9722-3042,Male,0,Yes,No,71,No,DSL,One year,Yes,Credit card,68.78,4883.38,No
9577-4687,Female,0,Yes,Yes,55,No,DSL,Two year,Yes,Credit card,114.54,6299.7,No
6537-5092,Male,0,No,Yes,66,No,DSL,One year,No,Credit card,36.71,2422.86,No
9446-1580,Male,0,No,No,38,No,DSL,Month-to-month,No,Mailed check,110.46,4197.48,No
4050-7587,Female,1,Yes,No,1,No,Fiber optic,One year,No,Electronic check,20.51,20.51,No
3549-5098,Female,0,Yes,No,63,Yes,DSL,Two year,Yes,Credit card,32.14,2024.82,No
8198-3651,Male,1,No,No,39,No,Fiber optic,Month-to-month,No,Electronic check,116.96,4561.44,Yes
6426-1517,Male,0,No,Yes,46,Yes,DSL,Month-to-month,No,Electronic check,33.1,1522.6,Yes
7551-9222,Male,0,No,No,16,No,Fiber optic,Two year,No,Mailed check,51.84,829.44,No
8039-1131,Female,0,Yes,Yes,3,Yes,DSL,One year,Yes,Mailed check,25.1,75.3,No
5317-5052,Female,1,No,No,63,Yes,Fiber optic,Month-to-month,Yes,Mailed check,44.45,2800.35,No
5486-4148,Female,0,No,Yes,65,Yes,DSL,Two year,Yes,Mailed check,31.81,2067.65,No
2005-9353,Male,1,Yes,Yes,12,Yes,Fiber optic,One year,No,Mailed check,41.73,500.76,No
1669-1008,Female,0,No,Yes,35,No,Fiber optic,One year,No,Mailed check,51.34,1796.9,Yes
6476-5986,Male,0,Yes,No,61,No,No,Month-to-month,No,Mailed check,44.72,2727.92,No
7292-2429,Male,0,Yes,Yes,43,No,No,One year,No,Mailed check,83.72,3599.96,No
5939-8769,Male,0,Yes,Yes,25,Yes,No,One year,Yes,Electronic check,112.3,2807.5,No
2923-8145,Male,0,Yes,Yes,25,No,No,Two year,No,Bank transfer,107.7,2692.5,No
4116-7512,Male,1,No,Yes,22,No,No,Month-to-month,No,Electronic check,113.67,2500.74,Yes
4568-1145,Female,0,Yes,No,66,No,No,One year,No,Bank transfer,40.28,2658.48,Yes
1640-3427,Female,0,No,Yes,38,No,No,Month-to-month,Yes,Mailed check,24.47,929.86,Yes
6317-2363,Female,0,No,Yes,32,Yes,No,Month-to-month,Yes,Bank transfer,82,2624,No
5194-1256,Female,0,No,No,42,Yes,No,Month-to-month,No,Mailed check,91.59,3846.78,Yes
8109-7039,Male,1,No,Yes,57,Yes,Fiber optic,One year,Yes,Credit card,35.25,2009.25,Yes
5621-1344,Male,1,Yes,No,24,No,DSL,Month-to-month,Yes,Credit card,112.45,2698.8,Yes
7594-2642,Female,0,Yes,No,25,Yes,DSL,Month-to-month,No,Mailed check,64.59,1614.75,No
3336-1221,Male,0,Yes,No,50,Yes,DSL,Month-to-month,Yes,Mailed check,44.34,2217,Yes
4994-1915,Male,0,No,Yes,26,Yes,Fiber optic,Two year,No,Mailed check,50.12,1303.12,No
4713-7998,Female,0,Yes,Yes,14,No,DSL,Two year,No,Mailed check,20.12,281.68,No
2666-5617,Female,0,No,No,29,No,No,Two year,Yes,Credit card,36.62,1061.98,Yes
3971-7967,Female,0,No,Yes,47,Yes,DSL,Two year,Yes,Mailed check,62.01,2914.47,No
2251-1035,Male,0,No,No,14,No,Fiber optic,Two year,No,Bank transfer,99.45,1392.3,No
5562-3370,Male,0,No,Yes,50,No,No,One year,Yes,Electronic check,76.63,3831.5,No
6463-3264,Male,0,Yes,Yes,50,No,Fiber optic,One year,No,Credit card,87.96,4398,No
9633-4593,Male,1,No,No,69,No,No,Two year,Yes,Credit card,28.19,1945.11,No
6723-6912,Male,0,No,Yes,27,Yes,Fiber optic,Two year,No,Mailed check,110.25,2976.75,Yes
3344-7184,Male,0,No,Yes,71,No,DSL,Month-to-month,Yes,Electronic check,93.21,6617.91,Yes
5014-2262,Male,1,No,Yes,14,Yes,Fiber optic,Two year,Yes,Electronic check,34.39,481.46,Yes
1216-5698,Male,1,Yes,Yes,61,Yes,No,Two year,No,Credit card,60.33,3680.13,No
9222-6014,Male,0,Yes,Yes,23,Yes,DSL,One year,No,Credit card,74.31,1709.13,No
4009-2264,Male,1,Yes,No,12,No,DSL,Two year,Yes,Credit card,80.67,968.04,No
6942-6496,Female,1,No,No,49,Yes,DSL,One year,No,Mailed check,46.45,2276.05,Yes
1530-4937,Male,0,No,Yes,70,Yes,DSL,Month-to-month,Yes,Bank transfer,38.4,2688,Yes
7523-9195,Female,0,Yes,No,6,Yes,Fiber optic,Month-to-month,No,Electronic check,116.09,696.54,Yes
8814-1612,Male,0,No,No,17,Yes,Fiber optic,One year,Yes,Mailed check,22.32,379.44,No
9218-9459,Female,0,Yes,No,11,Yes,No,Month-to-month,Yes,Mailed check,95.34,1048.74,Yes
2228-3496,Female,1,Yes,No,38,No,No,One year,Yes,Credit card,43.43,1650.34,No
2116-5589,Female,0,Yes,Yes,40,Yes,Fiber optic,Month-to-month,No,Bank transfer,36.63,1465.2,Yes
3031-8999,Female,0,Yes,Yes,23,No,Fiber optic,One year,No,Credit card,83.73,1925.79,Yes
8374-5306,Male,0,No,No,53,Yes,Fiber optic,One year,No,Bank transfer,28.18,1493.54,No
8573-2531,Male,0,Yes,Yes,20,Yes,Fiber optic,One year,Yes,Credit card,103.68,2073.6,Yes
6385-2056,Female,1,No,No,14,Yes,DSL,Two year,Yes,Credit card,95.29,1334.06,No
4497-6245,Female,0,No,Yes,61,Yes,Fiber optic,One year,Yes,Mailed check,112.96,6890.56,Yes
5421-5129,Male,1,Yes,No,56,No,DSL,Month-to-month,Yes,Electronic check,113.36,6348.16,No
5250-4015,Male,0,Yes,Yes,36,No,DSL,One year,No,Credit card,71.43,2571.48,No
3632-8156,Male,0,No,No,39,Yes,DSL,One year,No,Credit card,66.6,2597.4,No
3416-9182,Female,1,Yes,Yes,10,Yes,Fiber optic,Two year,No,Electronic check,34.75,347.5,Yes
4074-7884,Female,0,No,No,67,Yes,Fiber optic,Month-to-month,No,Electronic check,23.58,1579.86,No
6029-9226,Male,1,Yes,No,27,Yes,No,Two year,Yes,Bank transfer,99.75,2693.25,Yes
8018-7113,Male,1,No,No,53,No,Fiber optic,Two year,No,Bank transfer,31.11,1648.83,Yes
1269-7738,Male,0,No,No,37,No,No,One year,Yes,Electronic check,98.98,3662.26,Yes
7243-2875,Male,1,Yes,No,65,Yes,No,One year,No,Mailed check,41.84,2719.6,No
9315-5646,Male,1,Yes,No,60,No,No,Two year,No,Electronic check,112.08,6724.8,No
9502-6201,Female,0,No,No,31,Yes,Fiber optic,Month-to-month,Yes,Electronic check,35.03,1085.93,Yes
3111-7396,Female,0,No,Yes,72,No,DSL,Two year,No,Electronic check,98.53,7094.16,No
5263-3605,Male,1,No,Yes,56,Yes,DSL,Two year,Yes,Electronic check,81.88,4585.28,No
2290-7265,Female,0,Yes,Yes,4,No,DSL,Two year,Yes,Electronic check,80.57,322.28,No
7194-5267,Male,0,No,No,24,Yes,No,Month-to-month,No,Mailed check,72.47,1739.28,Yes
3959-2520,Male,0,Yes,Yes,3,Yes,DSL,One year,Yes,Electronic check,33.9,101.7,Yes
4445-7879,Male,1,No,Yes,51,Yes,Fiber optic,Month-to-month,No,Electronic check,67.68,3451.68,Yes
8928-9953,Female,0,No,Yes,24,No,DSL,Month-to-month,Yes,Electronic check,115.64,2775.36,No
4554-1483,Male,0,No,Yes,25,Yes,No,Month-to-month,Yes,Mailed check,104.95,2623.75,Yes
5822-8652,Female,0,Yes,Yes,17,No,Fiber optic,One year,Yes,Electronic check,54.16,920.72,No
6105-3714,Female,1,No,Yes,33,Yes,DSL,Two year,No,Credit card,30.08,992.64,No
7126-2052,Male,1,No,No,55,No,Fiber optic,Two year,Yes,Credit card,62.07,3413.85,No
6286-8035,Female,0,Yes,No,53,No,No,Two year,No,Credit card,22.93,1215.29,No
6388-4502,Male,0,Yes,Yes,28,No,Fiber optic,Month-to-month,No,Electronic check,20.94,586.32,Yes
2225-7909,Female,0,Yes,Yes,50,No,No,Month-to-month,Yes,Electronic check,74.97,3748.5,No
3803-6355,Female,0,No,Yes,26,Yes,Fiber optic,One year,Yes,Bank transfer,61.28,1593.28,Yes
9642-1640,Female,0,Yes,No,3,Yes,Fiber optic,One year,Yes,Credit card,23.63,70.89,No
6131-9090,Female,0,Yes,No,13,No,No,One year,No,Bank transfer,93.86,1220.18,No
3273-2722,Male,1,No,No,64,Yes,Fiber optic,Two year,Yes,Electronic check,41.95,2684.8,No
2815-1786,Female,1,Yes,Yes,12,Yes,No,One year,Yes,Electronic check,45.45,545.4,No
3424-7771,Female,0,No,No,49,No,No,Month-to-month,Yes,Credit card,31.75,1555.75,Yes
2356-6783,Female,0,Yes,No,63,No,Fiber optic,Two year,No,Mailed check,29,1827,No
2712-6577,Male,0,Yes,Yes,64,Yes,DSL,Month-to-month,Yes,Credit card,100.21,6413.44,Yes
9412-4326,Male,0,No,No,20,Yes,DSL,Month-to-month,No,Credit card,115.56,2311.2,No
2805-4941,Female,0,Yes,No,55,Yes,No,One year,Yes,Mailed check,65.17,3584.35,Yes
2377-6806,Male,1,Yes,No,4,No,No,Two year,No,Bank transfer,46.03,184.12,No
7267-7923,Female,0,Yes,No,65,No,No,One year,Yes,Credit card,46.71,3036.15,Yes
5078-2819,Male,0,Yes,No,23,No,No,Two year,No,Credit card,30.7,706.1,Yes
7628-7421,Male,0,Yes,Yes,35,Yes,DSL,Two year,Yes,Bank transfer,42.19,1476.65,No
1050-2544,Female,0,Yes,No,64,Yes,DSL,Month-to-month,No,Bank transfer,89.17,5706.88,Yes
1208-8775,Male,1,No,Yes,22,No,No,Month-to-month,Yes,Mailed check,52.55,1156.1,No
9000-5055,Female,0,Yes,Yes,34,Yes,DSL,Two year,Yes,Bank transfer,115.02,3910.68,No
6499-8415,Female,0,Yes,Yes,38,Yes,No,Two year,Yes,Mailed check,95.98,3647.24,Yes
8935-2847,Female,0,No,No,33,No,Fiber optic,Month-to-month,No,Bank transfer,89.6,2956.8,No
8056-6888,Female,0,Yes,No,29,Yes,Fiber optic,One year,Yes,Mailed check,76.6,2221.4,No
6426-7406,Male,0,Yes,No,14,No,No,Two year,No,Mailed check,46,644,No
6685-5725,Female,0,No,Yes,6,No,No,Month-to-month,No,Credit card,75.53,453.18,No
5828-1255,Male,0,No,Yes,60,Yes,No,One year,Yes,Bank transfer,67.71,4062.6,Yes
1817-5119,Female,0,Yes,No,16,Yes,Fiber optic,One year,Yes,Credit card,54.52,872.32,No
4585-1526,Male,0,No,Yes,12,No,DSL,Two year,Yes,Credit card,77.35,928.2,Yes
6283-3280,Female,0,Yes,No,55,No,DSL,One year,No,Bank transfer,36.98,2033.9,No
9942-4004,Male,0,Yes,No,71,Yes,Fiber optic,One year,Yes,Bank transfer,75.53,5362.63,No
7721-8557,Female,1,Yes,Yes,68,No,No,One year,No,Credit card,54.71,3720.28,No
5806-1877,Male,0,No,Yes,18,No,DSL,Two year,No,Mailed check,80.85,1455.3,No
6463-2595,Female,0,No,Yes,60,No,DSL,Month-to-month,Yes,Bank transfer,101.33,6079.8,No
3535-5929,Female,1,No,Yes,16,Yes,No,Month-to-month,Yes,Credit card,33.37,533.92,No
1403-9287,Female,0,No,Yes,15,Yes,DSL,Month-to-month,Yes,Electronic check,44.23,663.45,Yes
3018-8083,Female,1,Yes,Yes,39,No,Fiber optic,Month-to-month,Yes,Bank transfer,100.53,3920.67,No
2638-9076,Male,0,Yes,Yes,31,Yes,No,Two year,Yes,Credit card,67.09,2079.79,No
7380-1180,Female,0,No,No,14,No,Fiber optic,One year,Yes,Electronic check,47.78,668.92,Yes
9202-9244,Female,0,No,Yes,46,Yes,Fiber optic,Two year,No,Bank transfer,20.89,960.94,Yes
5560-5963,Male,0,No,Yes,23,Yes,Fiber optic,Two year,No,Credit card,90.09,2072.07,No
6703-7615,Female,0,No,No,61,Yes,No,Two year,No,Mailed check,88.38,5391.18,No
4876-2727,Male,0,Yes,Yes,30,Yes,No,Month-to-month,No,Credit card,51.72,1551.6,Yes
1482-3851,Male,1,No,Yes,8,No,DSL,Month-to-month,Yes,Credit card,94.81,758.48,No
3655-8111,Female,0,No,No,18,Yes,DSL,One year,No,Credit card,86.53,1557.54,No
6582-4036,Male,0,Yes,Yes,27,Yes,DSL,Month-to-month,No,Credit card,75.69,2043.63,No
2161-2280,Female,0,Yes,No,65,No,Fiber optic,Two year,Yes,Electronic check,63.01,4095.65,No
5118-7396,Male,0,Yes,Yes,64,Yes,DSL,Two year,No,Electronic check,41.95,2684.8,No
2816-8716,Female,0,Yes,No,10,Yes,No,Two year,No,Credit card,80.63,806.3,No
6400-2021,Female,0,Yes,No,54,No,DSL,One year,Yes,Mailed check,40.01,2160.54,No
1683-2704,Male,1,Yes,Yes,45,Yes,Fiber optic,Two year,Yes,Credit card,112.77,5074.65,Yes
4214-9752,Male,1,Yes,No,56,No,Fiber optic,Month-to-month,Yes,Electronic check,22.58,1264.48,No
2933-7024,Female,0,No,Yes,50,No,No,Month-to-month,No,Credit card,73.86,3693,Yes
9785-1750,Female,0,No,No,8,Yes,DSL,Month-to-month,Yes,Mailed check,60.48,483.84,No
5001-5790,Male,0,Yes,Yes,8,Yes,Fiber optic,Month-to-month,No,Electronic check,50.78,406.24,Yes
4609-8266,Male,1,No,Yes,10,Yes,Fiber optic,Two year,Yes,Credit card,89.12,891.2,No
8966-5583,Female,0,No,Yes,68,No,Fiber optic,Two year,Yes,Electronic check,53.97,3669.96,No
8434-2871,Male,0,Yes,Yes,40,Yes,DSL,One year,Yes,Electronic check,115.84,4633.6,No
1308-7268,Male,1,Yes,No,36,No,Fiber optic,Month-to-month,Yes,Bank transfer,103.75,3735,Yes
6698-1425,Female,1,Yes,Yes,27,No,DSL,Two year,No,Electronic check,84.72,2287.44,Yes
5709-9761,Female,0,Yes,Yes,44,No,Fiber optic,Two year,Yes,Electronic check,74.22,3265.68,No
5495-2401,Female,1,No,Yes,49,No,No,Month-to-month,Yes,Electronic check,47.51,2327.99,No
6259-5333,Male,0,No,No,5,No,Fiber optic,One year,No,Electronic check,32.18,160.9,No
7694-1959,Male,1,No,Yes,57,Yes,Fiber optic,Month-to-month,No,Credit card,82.5,4702.5,Yes
3406-1812,Male,0,No,Yes,57,Yes,Fiber optic,One year,No,Credit card,32.47,1850.79,No
5244-5217,Male,0,Yes,Yes,65,No,No,One year,Yes,Mailed check,25.96,1687.4,No
6337-7084,Male,0,Yes,Yes,45,Yes,DSL,Two year,No,Electronic check,70.08,3153.6,Yes
7139-8711,Female,0,No,No,19,Yes,Fiber optic,Two year,No,Bank transfer,115.56,2195.64,No
9368-9326,Female,0,Yes,No,6,No,DSL,Two year,Yes,Electronic check,79.69,478.14,No
9982-7849,Female,0,No,Yes,20,No,No,Month-to-month,Yes,Mailed check,75.41,1508.2,No
6930-4782,Male,0,No,No,41,No,DSL,Two year,No,Mailed check,52.21,2140.61,No
4774-8355,Female,0,Yes,Yes,57,No,Fiber optic,Month-to-month,No,Electronic check,109.63,6248.91,Yes
7898-9274,Female,0,Yes,Yes,53,Yes,No,One year,No,Bank transfer,50.76,2690.28,Yes
8698-2654,Male,1,Yes,Yes,59,Yes,DSL,Month-to-month,No,Bank transfer,95.02,5606.18,No
4955-5806,Male,0,No,Yes,22,Yes,DSL,Two year,No,Credit card,54.73,1204.06,No
8138-5739,Male,0,No,Yes,6,Yes,No,One year,No,Credit card,81.82,490.92,No
9334-5576,Female,0,Yes,Yes,20,Yes,No,Two year,No,Credit card,57.18,1143.6,No
3923-3346,Male,0,No,No,44,Yes,No,Two year,No,Bank transfer,51.63,2271.72,No
4664-3774,Male,0,No,No,41,Yes,Fiber optic,One year,Yes,Electronic check,48.21,1976.61,No
9844-9813,Female,0,Yes,Yes,36,Yes,DSL,Month-to-month,Yes,Electronic check,78.64,2831.04,Yes
5832-2795,Male,0,No,Yes,48,Yes,Fiber optic,Two year,No,Credit card,71.05,3410.4,No
4644-2218,Male,1,No,No,34,Yes,DSL,One year,Yes,Bank transfer,98.76,3357.84,No
9540-6202,Female,0,No,No,59,Yes,No,Two year,No,Electronic check,62.47,3685.73,No
4065-9138,Male,0,Yes,Yes,18,No,DSL,Two year,Yes,Bank transfer,66.07,1189.26,No
3918-1635,Female,0,Yes,Yes,67,Yes,DSL,One year,Yes,Credit card,74.66,5002.22,No
8947-9031,Female,0,No,Yes,45,No,No,Two year,Yes,Bank transfer,102.39,4607.55,No
2897-3886,Female,0,No,No,13,Yes,DSL,One year,No,Credit card,51.89,674.57,No
4524-7701,Female,0,Yes,No,51,Yes,Fiber optic,One year,No,Mailed check,22.84,1164.84,Yes
4587-6567,Male,0,No,No,53,No,Fiber optic,One year,No,Bank transfer,109.41,5798.73,Yes
1345-7212,Male,0,No,No,29,Yes,No,Month-to-month,Yes,Bank transfer,32.66,947.14,No
4757-5754,Male,0,No,Yes,7,Yes,Fiber optic,Two year,Yes,Mailed check,102.14,714.98,Yes
1692-3571,Male,0,No,No,28,Yes,DSL,Month-to-month,Yes,Electronic check,69.15,1936.2,No
5423-2391,Female,0,Yes,Yes,32,Yes,Fiber optic,Two year,Yes,Credit card,84.22,2695.04,Yes
6303-7965,Male,0,No,Yes,2,Yes,DSL,Two year,No,Mailed check,101.48,202.96,No
7657-5563,Male,0,No,No,26,Yes,Fiber optic,Two year,No,Credit card,48.54,1262.04,Yes
1407-7510,Female,0,Yes,No,3,No,No,One year,No,Electronic check,64.32,192.96,No
9025-5095,Male,1,No,No,14,No,Fiber optic,Month-to-month,Yes,Electronic check,74.97,1049.58,Yes
3467-1598,Male,0,No,No,67,Yes,DSL,One year,No,Credit card,50.52,3384.84,No
9428-2334,Female,1,Yes,No,27,No,No,One year,No,Mailed check,51.54,1391.58,No
2862-1639,Male,1,Yes,No,17,Yes,DSL,Two year,Yes,Mailed check,39.34,668.78,No
5441-9560,Female,1,Yes,No,18,No,Fiber optic,Month-to-month,No,Electronic check,62.68,1128.24,Yes
6409-3217,Female,0,Yes,Yes,38,Yes,No,Two year,No,Bank transfer,66.27,2518.26,No
2537-9810,Male,1,Yes,No,54,Yes,DSL,One year,Yes,Electronic check,50.56,2730.24,Yes
5498-5656,Female,0,Yes,Yes,60,Yes,DSL,One year,Yes,Bank transfer,81.62,4897.2,No
5307-2676,Female,0,No,No,33,Yes,DSL,Two year,Yes,Electronic check,91.6,3022.8,No
3400-3348,Male,1,No,No,61,Yes,DSL,Month-to-month,Yes,Mailed check,28.95,1765.95,No
9198-2921,Male,1,Yes,No,10,Yes,DSL,Two year,No,Credit card,85.15,851.5,No
3721-5550,Male,1,No,No,61,No,Fiber optic,Two year,No,Electronic check,106.56,6500.16,No
8636-6668,Male,1,No,No,33,Yes,No,One year,No,Mailed check,22.48,741.84,No
6085-6381,Female,0,Yes,No,48,Yes,No,Month-to-month,Yes,Credit card,55.38,2658.24,Yes
5145-5492,Male,0,No,Yes,35,Yes,No,One year,No,Credit card,24.3,850.5,No
3509-3898,Male,0,No,No,63,Yes,Fiber optic,Two year,Yes,Electronic check,56.21,3541.23,No
4181-1273,Male,0,No,Yes,8,No,No,Two year,Yes,Bank transfer,29.55,236.4,No
9216-3416,Female,0,Yes,No,67,Yes,No,One year,No,Electronic check,26.37,1766.79,No
1052-6098,Female,0,Yes,No,6,No,No,Month-to-month,No,Mailed check,82.26,493.56,No
2415-4041,Female,0,Yes,No,60,Yes,No,One year,Yes,Electronic check,109.97,6598.2,Yes
4130-3174,Female,0,Yes,Yes,28,No,Fiber optic,Month-to-month,Yes,Bank transfer,102.06,2857.68,No
4264-3901,Female,0,No,No,23,No,DSL,Two year,No,Credit card,42.14,969.22,No
3793-1601,Female,0,No,No,12,No,Fiber optic,Two year,No,Bank transfer,95.69,1148.28,No
4575-8662,Female,0,Yes,No,45,No,DSL,One year,No,Electronic check,70.3,3163.5,Yes
1554-6281,Female,0,Yes,Yes,61,Yes,Fiber optic,Two year,No,Bank transfer,75.25,4590.25,No
8648-9958,Male,0,Yes,Yes,54,No,Fiber optic,One year,Yes,Mailed check,109.49,5912.46,No
7572-5918,Male,0,No,No,56,No,Fiber optic,Month-to-month,No,Bank transfer,78.89,4417.84,Yes
9586-4251,Male,0,Yes,No,55,No,No,One year,Yes,Mailed check,70.2,3861,No
3416-4283,Male,0,No,Yes,12,No,DSL,One year,No,Credit card,36.2,434.4,Yes
7131-1081,Male,0,No,Yes,24,Yes,DSL,One year,Yes,Mailed check,35.11,842.64,No
2569-7350,Female,0,No,Yes,61,No,No,Month-to-month,No,Credit card,101.47,6189.67,No
1440-4632,Male,0,Yes,No,42,No,No,Two year,No,Credit card,72.34,3038.28,No
4079-1724,Male,0,No,No,44,Yes,No,Two year,No,Electronic check,83.27,3663.88,Yes
8875-1570,Male,0,No,Yes,44,No,No,Month-to-month,No,Mailed check,47.93,2108.92,Yes
1200-3635,Female,1,Yes,Yes,51,Yes,Fiber optic,Month-to-month,No,Electronic check,84.28,4298.28,Yes
5237-2899,Female,0,No,No,2,No,No,Two year,No,Credit card,95.59,191.18,No
1113-6523,Female,0,No,No,69,No,DSL,Month-to-month,No,Credit card,105.29,7265.01,Yes
7050-5134,Female,0,No,No,7,No,Fiber optic,Month-to-month,Yes,Credit card,65.1,455.7,Yes
1583-2829,Female,0,No,Yes,70,No,DSL,One year,No,Credit card,21.72,1520.4,No
5500-6658,Female,0,No,Yes,23,Yes,No,Month-to-month,Yes,Mailed check,82.03,1886.69,Yes
2290-6534,Female,0,No,Yes,10,No,Fiber optic,Month-to-month,Yes,Electronic check,57.43,574.3,No
5275-5967,Female,1,No,Yes,24,No,No,Two year,Yes,Credit card,114.59,2750.16,No
7531-3969,Male,0,No,No,28,No,Fiber optic,Two year,Yes,Bank transfer,69.15,1936.2,Yes
6212-2591,Female,0,Yes,No,27,Yes,Fiber optic,Two year,Yes,Bank transfer,46.17,1246.59,No
7374-8792,Male,0,Yes,No,29,Yes,No,One year,No,Credit card,82.21,2384.09,No
7390-5189,Male,0,No,No,45,No,DSL,One year,No,Mailed check,72.16,3247.2,No
8657-1484,Female,0,Yes,No,72,No,DSL,Month-to-month,No,Bank transfer,48.6,3499.2,Yes
7200-3023,Male,0,No,No,54,Yes,Fiber optic,Two year,No,Mailed check,56.78,3066.12,No
5569-6233,Male,1,Yes,Yes,15,No,DSL,Month-to-month,No,Credit card,54.5,817.5,Yes
7554-5725,Female,0,No,No,29,No,Fiber optic,One year,No,Credit card,35.38,1026.02,No
4673-3270,Male,0,No,Yes,13,No,No,Two year,No,Credit card,60.21,782.73,No
7378-9377,Male,1,Yes,No,32,Yes,No,Two year,No,Electronic check,113.28,3624.96,Yes
